,Rsoil,RsoilMOD,,,,,
171,3.332779588,2.562104448,,,,,
172,3.400897235,2.905400388,,,,,
173,3.508400486,2.932681711,,,,,
174,3.392850588,3.187313064,,,,,
175,3.4247612,3.232975082,,,,,
176,3.499713486,3.175209093,,,,,
177,3.452826588,3.261830215,,,,,
178,3.450712943,3.309970769,,,,,
179,3.336907514,3.298689424,,,,,
180,3.335550829,3.339099081,,,,,
181,3.196894529,3.322173529,,,,,
182,3.146489857,3.056177252,,,,,
183,3.255072286,3.190874027,,,,,
184,3.401101765,3.365383647,,,,,
185,3.385440343,3.418810009,,,,,
186,3.219137588,3.270745988,,,,,
187,3.574415235,3.25766634,,,,,
188,3.587962686,3.256737848,,,,,
189,3.614612171,3.330812144,,,,,
190,3.4602655,3.481253462,,,,,
191,3.2874852,3.327454144,,,,,
192,3.321098857,3.479928534,,,,,
193,3.422054265,3.395134303,,,,,
194,3.363526912,3.414942016,,,,,
195,3.259254886,3.388134635,,,,,
196,3.276775743,3.404760364,,,,,
197,3.126403706,3.413238444,,,,,
198,3.125089429,3.420652038,,,,,
199,3.276713824,3.394896626,,,,,
200,3.224272371,3.381220027,,,,,
201,3.242331143,3.383469192,,,,,
202,3.183595429,3.418277811,,,,,
203,3.450331647,3.427139777,,,,,
204,3.313461314,3.442387861,,,,,
205,3.261634638,3.447345927,,,,,
206,3.400998116,3.261656826,,,,,
207,3.537631143,3.458666132,,,,,
208,3.636283647,3.253905059,,,,,
209,3.460690118,3.44773293,,,,,
210,3.397681314,3.429716579,,,,,
211,3.4012544,3.429885873,,,,,
212,3.344392647,3.292262356,,,,,
213,3.262418,3.292983309,,,,,
214,3.166506286,3.288694618,,,,,
215,3.019975529,3.44893446,,,,,
216,2.951646229,3.349162661,,,,,
217,2.953483086,3.47681263,,,,,
218,3.101640514,3.492566293,,,,,
219,3.324719206,3.46196771,,,,,
220,3.397159829,3.441951127,,,,,
221,3.320267176,3.443039541,,,,,
222,3.2642232,3.482774776,,,,,
223,3.299586,3.41996782,,,,,
224,3.011856,3.433877705,,,,,
225,3.321781882,3.407776825,,,,,
226,3.430521229,3.434392674,,,,,
227,3.343284029,3.469427676,,,,,
228,3.298464,3.474300553,,,,,
229,3.441220857,3.367399517,,,,,
230,3.590095857,3.344060471,,,,,
231,3.271843,3.360824257,,,,,
232,3.517028588,3.50788897,,,,,
233,3.528892514,3.488418548,,,,,
234,3.520506382,3.484691083,,,,,
235,3.434062543,3.526815169,,,,,
236,3.327564086,3.588676466,,,,,
237,3.333534382,3.614768193,,,,,
238,3.457340971,3.625439514,,,,,
239,3.301420686,3.632961836,,,,,
240,3.2504724,3.627220714,,,,,
241,3.188171353,3.65649072,,,,,
242,3.368534743,3.621065678,,,,,
243,3.455735647,3.640268274,,,,,
244,3.333488571,3.65080931,,,,,
245,3.344711429,3.628896071,,,,,
246,3.40949,3.653237588,,,,,
247,3.375700294,3.630851334,,,,,
248,3.250789743,3.457616901,,,,,
249,3.2723186,3.673881732,,,,,
250,3.293850412,3.514567969,,,,,
251,3.2557736,3.513842729,,,,,
252,3.2014872,3.534896644,,,,,
253,3.100744783,3.532000518,,,,,
254,3.133936522,3.707285796,,,,,
255,3.167128261,3.730839291,,,,,
256,3.152450706,3.525106459,,,,,
257,3.217200429,3.730191098,,,,,
258,3.237421,3.552951709,,,,,
259,3.169063971,3.560119778,,,,,
260,3.14393,3.567935815,,,,,
